Work_Order,Description,Location,Location_Normalized,Asset,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site
23-52624,Blow out filter element with air,P-1630,P-1630,1002,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:20 AM,2024-01-08T00:20:00.000Z,1-8-24 3:40 PM,2024-01-08T15:40:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52623,Reinstall covers temporarily,P-1630,P-1630,1002,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:10 AM,2024-01-08T00:10:00.000Z,1-8-24 3:40 PM,2024-01-08T15:40:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52622,Push filter through from one side,P-1630,P-1630,1002,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:05 AM,2024-01-08T00:05:00.000Z,1-8-24 3:40 PM,2024-01-08T15:40:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52621,Remove bolts from filter covers on both sides,P-1630,P-1630,1002,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:10 AM,2024-01-08T00:10:00.000Z,1-8-24 3:40 PM,2024-01-08T15:40:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52620,P-1630A - MOTOR AIR FILTER CLEANING,P-1630,P-1630,1002,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 1:00 AM,2024-01-08T01:00:00.000Z,1-8-24 1:00 AM,2024-01-08T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52619,DDG AREA EQUIPMENT GREASE P.M.,1800,1800,,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-4-24 12:00 AM,2024-01-04T00:00:00.000Z,1-8-24 6:48 AM,2024-01-08T06:48:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52618,1800 AREA - EQUIPMENT GREASING - DDG STORAGE AREA,1800,1800,,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-4-24 12:00 AM,2024-01-04T00:00:00.000Z,1-4-24 2:30 AM,2024-01-04T02:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52617,Corn Probe Weekly PM,SA-2101,SA-2101,4865,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-15-24 7:30 AM,2024-01-15T07:30:00.000Z,1-23-24 6:27 AM,2024-01-23T06:27:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52616,SA-2101 CORN PROBE - MECHANICAL  PM,SA-2101,SA-2101,4865,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-15-24 7:30 AM,2024-01-15T07:30:00.000Z,1-23-24 6:27 AM,2024-01-23T06:27:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52615,Check operation of biothane float in diked area,LSH-41401,LSH-41401,3081,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:30 AM,2024-01-08T00:30:00.000Z,1-8-24 8:12 AM,2024-01-08T08:12:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52614,BIOTHANE FLOAT OP CHECK- (LSH-41401) - PM SERVICE,LSH-41401,LSH-41401,3081,,,12-11-23 1:46 AM,2023-12-11T01:46:00.000Z,1-8-24 12:30 AM,2024-01-08T00:30:00.000Z,1-8-24 12:15 AM,2024-01-08T00:15:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52613,GIVE SAMPLE TO SHIPPER/RECEIVER,AG-1601,AG-1601,1191,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-3-24 12:00 AM,2024-01-03T00:00:00.000Z,1-8-24 1:20 PM,2024-01-08T13:20:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-52612,CHECK OIL LEVEL,AG-1601,AG-1601,1191,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-3-24 12:30 AM,2024-01-03T00:30:00.000Z,1-8-24 1:20 PM,2024-01-08T13:20:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-52611,EXTRACT OIL SAMPLE,AG-1601,AG-1601,1191,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-3-24 12:30 AM,2024-01-03T00:30:00.000Z,1-8-24 1:20 PM,2024-01-08T13:20:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-52610,PREPARATION OF CONTAINERS,AG-1601,AG-1601,1191,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-3-24 12:00 AM,2024-01-03T00:00:00.000Z,1-8-24 1:20 PM,2024-01-08T13:20:00.000Z,4,4,,PD,CLOSE,Y,,NO,CHATHAM
23-52609,AG-1601- OIL SAMPLING,AG-1601,AG-1601,1191,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-3-24 12:30 AM,2024-01-03T00:30:00.000Z,1-8-24 1:20 PM,2024-01-08T13:20:00.000Z,4,4,,PD,CLOSE,Y,N,NO,CHATHAM
23-52608,PERFORM INSPECTION OF ALL EQUIPMENT,3800,3800,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,2-3-24 4:00 PM,2024-02-03T16:00:00.000Z,11-3-24 7:32 PM,2024-11-03T19:32:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-52607,INFRARED THERMOGRAPHIC - AREA 3800 - PM SERVICE,3800,3800,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,2-3-24 4:00 PM,2024-02-03T16:00:00.000Z,11-3-24 7:32 PM,2024-11-03T19:32:00.000Z,4,4,,CO,CLOSE,Y,N,NO,CHATHAM
23-52606,PROCEDURE - REGREASING OPTIM/ TECO INDUCTION MOTOR,3300,3300,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-8-24 12:00 AM,2024-01-08T00:00:00.000Z,1-8-24 8:27 AM,2024-01-08T08:27:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52605,3300 AREA EQUIPMENT GREASE P.M.,3300,3300,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-8-24 1:00 AM,2024-01-08T01:00:00.000Z,1-8-24 8:27 AM,2024-01-08T08:27:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52604,3300 AREA  -  MOTOR GREASING,3300,3300,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-8-24 1:00 AM,2024-01-08T01:00:00.000Z,1-8-24 12:30 AM,2024-01-08T00:30:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52603,PROCEDURE - REGREASING OPTIM/ TECO INDUCTION MOTOR,3200,3200,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-6-24 12:00 AM,2024-01-06T00:00:00.000Z,1-5-24 7:42 AM,2024-01-05T07:42:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52602,3200 AREA MOTOR GREASE,3200,3200,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-6-24 1:00 AM,2024-01-06T01:00:00.000Z,1-5-24 7:42 AM,2024-01-05T07:42:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52601,3200 AREA - MOTOR GREASING,3200,3200,,,,12-11-23 1:45 AM,2023-12-11T01:45:00.000Z,1-6-24 1:00 AM,2024-01-06T01:00:00.000Z,1-5-24 1:00 AM,2024-01-05T01:00:00.000Z,4,4,,PM,CLOSE,Y,N,NO,CHATHAM
23-52599,I/E Change override pressure from ?? to 360KPAG for FT36402,FT-36402,FT-36402,6832,,,12-8-23 2:46 PM,2023-12-08T14:46:00.000Z,11-30-23 12:50 PM,2023-11-30T12:50:00.000Z,12-8-23 2:52 PM,2023-12-08T14:52:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52598,I/E Confirm mA signal to DCS for PZT36801 (the signal seems to have drifed),FV-36801,FV-36801,2239,,,12-8-23 2:45 PM,2023-12-08T14:45:00.000Z,12-5-23 9:43 AM,2023-12-05T09:43:00.000Z,12-8-23 2:52 PM,2023-12-08T14:52:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM
23-52597,BL1825 Exhaust Fan/BL1529 Main Fan - Vibes,BL-1825,BL-1825,10032,,,12-8-23 2:44 PM,2023-12-08T14:44:00.000Z,12-31-23 8:00 AM,2023-12-31T08:00:00.000Z,7-16-24 2:20 PM,2024-07-16T14:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52596,Mx 1801 D air regulators both leak air,MX-1801D,MX-1801D,3569,,,12-8-23 2:41 PM,2023-12-08T14:41:00.000Z,12-31-23 7:35 AM,2023-12-31T07:35:00.000Z,12-11-23 4:01 PM,2023-12-11T16:01:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM
23-52595,BE2101 leaking dust,BE-2101,BE-2101,1279,,,12-8-23 2:39 PM,2023-12-08T14:39:00.000Z,12-13-23 11:22 AM,2023-12-13T11:22:00.000Z,12-11-23 7:06 AM,2023-12-11T07:06:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52594,Burnt out light in corn land basement,BU-GHR,BU-GHR,1323,,,12-8-23 2:36 PM,2023-12-08T14:36:00.000Z,12-28-23 11:37 AM,2023-12-28T11:37:00.000Z,2-7-24 3:10 PM,2024-02-07T15:10:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM
23-52593,Valve mismatch/not performing properly.,PV-58140,PV-58140,4791,,,12-8-23 2:26 PM,2023-12-08T14:26:00.000Z,12-6-23 8:30 AM,2023-12-06T08:30:00.000Z,12-8-23 2:35 PM,2023-12-08T14:35:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52592,MEASURE SIZE OF DC-1202C EXPLOSION PANELS,DC-1202C,DC-1202C,1455,,,12-8-23 2:24 PM,2023-12-08T14:24:00.000Z,12-15-23 1:48 PM,2023-12-15T13:48:00.000Z,12-12-23 4:25 PM,2023-12-12T16:25:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52591,bent bolt on overfill scully,LSHH-39301F,LSHH-39301F,3112,,,12-8-23 2:11 PM,2023-12-08T14:11:00.000Z,12-15-23 11:34 AM,2023-12-15T11:34:00.000Z,12-8-23 2:54 PM,2023-12-08T14:54:00.000Z,4,4,,RM,CLOSE,Y,,NO,CHATHAM
23-52590,Water tap outside of process lab is leaking (near gas cyclinders).,BU-ADMIN,BU-ADMIN,,,,12-8-23 2:09 PM,2023-12-08T14:09:00.000Z,12-14-23 11:42 AM,2023-12-14T11:42:00.000Z,11-6-24 2:11 AM,2024-11-06T02:11:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52589,Alcohol truck loading camera needs cleaned - image not visible,BU-ALCO,BU-ALCO,,,,12-8-23 2:05 PM,2023-12-08T14:05:00.000Z,12-29-23 11:37 AM,2023-12-29T11:37:00.000Z,12-19-23 12:07 PM,2023-12-19T12:07:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52582,Change out weigh belt motor and gearbox,SC-1301,SC-1301,4868,,,12-7-23 2:05 PM,2023-12-07T14:05:00.000Z,12-8-23 2:05 PM,2023-12-08T14:05:00.000Z,12-8-23 3:05 PM,2023-12-08T15:05:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52581,Verify Weigh Belt motor in good working condition,SC-1301,SC-1301,4868,,,12-7-23 1:40 PM,2023-12-07T13:40:00.000Z,12-8-23 7:32 AM,2023-12-08T07:32:00.000Z,12-7-23 1:43 PM,2023-12-07T13:43:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52579,Install Fire Extinguishers at Front Entrance,BU-ADMIN,BU-ADMIN,,,,12-7-23 9:38 AM,2023-12-07T09:38:00.000Z,12-6-23 2:11 PM,2023-12-06T14:11:00.000Z,12-7-23 10:39 AM,2023-12-07T10:39:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52570,TA24 Spring - HPW and Acuren Inspection HC Reflux Condenser E6562,E-6562,E-6562,1574,,,12-6-23 3:08 PM,2023-12-06T15:08:00.000Z,4-30-24 8:28 AM,2024-04-30T08:28:00.000Z,5-23-24 1:40 PM,2024-05-23T13:40:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52569,Follow procedure below,MX-1801D,MX-1801D,3569,,,12-6-23 1:44 PM,2023-12-06T13:44:00.000Z,12-6-23 12:00 AM,2023-12-06T00:00:00.000Z,6-3-24 6:35 AM,2024-06-03T06:35:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM
23-52568,Syrup line H.P Wash - DR02,MX-1801D,MX-1801D,3569,,,12-6-23 1:44 PM,2023-12-06T13:44:00.000Z,12-6-23 1:30 AM,2023-12-06T01:30:00.000Z,6-3-24 6:35 AM,2024-06-03T06:35:00.000Z,4,4,,SD,CLOSE,Y,N,NO,CHATHAM
23-52567,Complete runout and float checks,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 8:15 AM,2023-12-11T08:15:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52566,Assemble shaft w/ bearings into housing,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 8:45 AM,2023-12-11T08:45:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52565,Install bearings,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 10:15 AM,2023-12-11T10:15:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52564,Take measurements,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 8:45 AM,2023-12-11T08:45:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52563,Wire wheel shaft,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 8:15 AM,2023-12-11T08:15:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52562,Clean housing,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 8:15 AM,2023-12-11T08:15:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52561,Disassemble pump,P-1581A,P-1581A,1082,,,12-6-23 11:23 AM,2023-12-06T11:23:00.000Z,12-11-23 9:45 AM,2023-12-11T09:45:00.000Z,1-23-25 2:19 PM,2025-01-23T14:19:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52560,Rebuild RA 1082,P-1581A,P-1581A,1082,,,12-6-23 11:22 AM,2023-12-06T11:22:00.000Z,3-15-24 7:45 AM,2024-03-15T07:45:00.000Z,1-22-25 4:15 PM,2025-01-22T16:15:00.000Z,4,4,,CO,CLOSE,Y,N,NO,CHATHAM
23-52559,Complete runout and float checks,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 8:18 AM,2023-12-11T08:18:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52558,Assemble shaft w/ bearings into housing,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 8:48 AM,2023-12-11T08:48:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52557,Install bearings,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 10:18 AM,2023-12-11T10:18:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52556,Take measurements,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 8:48 AM,2023-12-11T08:48:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52555,Wire wheel shaft,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 8:18 AM,2023-12-11T08:18:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52554,Clean housing,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 8:18 AM,2023-12-11T08:18:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52553,Disassemble pump,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-11-23 9:48 AM,2023-12-11T09:48:00.000Z,12-14-23 7:16 AM,2023-12-14T07:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52552,Rebuild RA 1193,P-1405B,P-1405B,1037,,,12-6-23 11:21 AM,2023-12-06T11:21:00.000Z,12-31-23 7:48 AM,2023-12-31T07:48:00.000Z,12-13-23 3:48 PM,2023-12-13T15:48:00.000Z,4,4,,CO,CLOSE,Y,N,NO,CHATHAM
23-52550,Complete runout and float checks,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 8:40 AM,2023-12-12T08:40:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52549,Assemble shaft w/ bearings into housing,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 9:10 AM,2023-12-12T09:10:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52548,Install bearings,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 10:40 AM,2023-12-12T10:40:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52547,Take measurements,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 9:10 AM,2023-12-12T09:10:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52546,Wire wheel shaft,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 8:40 AM,2023-12-12T08:40:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52545,Clean housing,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 8:40 AM,2023-12-12T08:40:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52544,Disassemble pump,P-1610,P-1610,1053,,,12-6-23 10:26 AM,2023-12-06T10:26:00.000Z,12-12-23 10:10 AM,2023-12-12T10:10:00.000Z,8-19-24 11:36 AM,2024-08-19T11:36:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52543,wilden pump that fills phytase tote is broken,TK-1315,TK-1315,5461,,,12-6-23 9:26 AM,2023-12-06T09:26:00.000Z,12-24-23 9:26 AM,2023-12-24T09:26:00.000Z,12-14-23 10:26 AM,2023-12-14T10:26:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52542,Install Lights in shop over Mechanics bench,0000,0000,,,,12-6-23 8:20 AM,2023-12-06T08:20:00.000Z,12-24-23 8:20 AM,2023-12-24T08:20:00.000Z,12-11-23 4:20 PM,2023-12-11T16:20:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52541,INSULATION BLANKET AUDIT (PLANT WIDE),CHATHAM,CHATHAM,,Completed under Time sheet 100715,,12-6-23 8:01 AM,2023-12-06T08:01:00.000Z,,,12-21-23 4:13 PM,2023-12-21T16:13:00.000Z,4,4,,PM,CLOSE,Y,,NO,CHATHAM
23-52540,Lights in Distillation,1500,1500,,,,12-6-23 7:50 AM,2023-12-06T07:50:00.000Z,12-24-23 7:50 AM,2023-12-24T07:50:00.000Z,12-13-23 9:50 AM,2023-12-13T09:50:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52539,Replace RO-B Conductivity probe,WS-3502B,WS-3502B,6389,,,12-6-23 7:35 AM,2023-12-06T07:35:00.000Z,2-29-24 7:40 AM,2024-02-29T07:40:00.000Z,3-10-24 6:01 AM,2024-03-10T06:01:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52534,Demo of C-Can to Set up for Chemical Trial c-Can,0000,0000,,,,12-5-23 1:17 PM,2023-12-05T13:17:00.000Z,12-24-23 1:17 PM,2023-12-24T13:17:00.000Z,12-13-23 1:23 PM,2023-12-13T13:23:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52533,MOC22-044: Install Current AMP meter on Agitator TK1602,AG-1602,AG-1602,1192,,,12-5-23 1:12 PM,2023-12-05T13:12:00.000Z,7-31-24 10:15 PM,2024-07-31T22:15:00.000Z,7-2-24 12:16 AM,2024-07-02T00:16:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52532,MOC22-044: Install Current AMP meter on Agitator TK1601,AG-1601,AG-1601,1191,,,12-5-23 1:11 PM,2023-12-05T13:11:00.000Z,8-5-24 10:12 PM,2024-08-05T22:12:00.000Z,7-1-24 11:49 AM,2024-07-01T11:49:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52531,MOC22-044: Install Current AMP meter on Agitator TK1701,AG-1701,AG-1701,1193,,,12-5-23 1:09 PM,2023-12-05T13:09:00.000Z,7-8-24 10:04 PM,2024-07-08T22:04:00.000Z,7-2-24 12:04 AM,2024-07-02T00:04:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52530,PCOSS - Centrifuge Failed to Shoot Fault,SKID-6601,SKID-6601,,,,12-5-23 12:54 PM,2023-12-05T12:54:00.000Z,12-1-23 12:54 PM,2023-12-01T12:54:00.000Z,12-5-23 1:54 PM,2023-12-05T13:54:00.000Z,2,2,,PM,CLOSE,Y,,NO,CHATHAM
23-52529,Heavy Phase braided hose needs replacement,XV-66202,XV-66202,6480,,,12-5-23 12:52 PM,2023-12-05T12:52:00.000Z,12-4-23 3:55 PM,2023-12-04T15:55:00.000Z,8-2-24 2:10 PM,2024-08-02T14:10:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM
23-52528,DDG cooling tube has a hole in it causing DDG to hit the ground.,RC-1802,RC-1802,4850,,,12-5-23 11:36 AM,2023-12-05T11:36:00.000Z,12-24-23 3:13 PM,2023-12-24T15:13:00.000Z,12-13-23 5:43 PM,2023-12-13T17:43:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM
23-52527,I/E - Move heater/block heat in MCC3816 away from fiber optics,UH-3816,UH-3816,,,,12-5-23 11:34 AM,2023-12-05T11:34:00.000Z,12-24-23 9:48 AM,2023-12-24T09:48:00.000Z,12-12-23 11:52 AM,2023-12-12T11:52:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52526,Replace broken shear pin in biogas trap,4100-26K-02,4100-26K-02,,,,12-5-23 11:18 AM,2023-12-05T11:18:00.000Z,12-8-23 11:02 PM,2023-12-08T23:02:00.000Z,12-11-23 9:29 AM,2023-12-11T09:29:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM
23-52525,"unnhook level transmitter for tank swap, hook it back up and wire in tank heater",TK-4122,TK-4122,,,,12-5-23 11:10 AM,2023-12-05T11:10:00.000Z,12-6-23 5:00 PM,2023-12-06T17:00:00.000Z,12-8-23 8:14 AM,2023-12-08T08:14:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52524,Maximo training  Thursday 1-230pm first fl conference room,0000,0000,,,,12-5-23 11:04 AM,2023-12-05T11:04:00.000Z,12-24-23 11:04 AM,2023-12-24T11:04:00.000Z,12-17-23 12:04 PM,2023-12-17T12:04:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52523,remove scaffold,EF-3002,EF-3002,1613,,,12-5-23 10:53 AM,2023-12-05T10:53:00.000Z,12-22-23 12:51 PM,2023-12-22T12:51:00.000Z,1-2-24 7:39 AM,2024-01-02T07:39:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52522,DDG Hammermill not milling,MI-1801,MI-1801,3405,,,12-5-23 10:49 AM,2023-12-05T10:49:00.000Z,11-30-23 5:11 PM,2023-11-30T17:11:00.000Z,12-5-23 10:50 AM,2023-12-05T10:50:00.000Z,2,2,,RM,CLOSE,Y,,NO,CHATHAM
23-52521,Plumb ferric tank to digerstor,4100-26K-08,4100-26K-08,,,,12-5-23 10:25 AM,2023-12-05T10:25:00.000Z,12-22-23 11:03 AM,2023-12-22T11:03:00.000Z,12-6-23 1:33 PM,2023-12-06T13:33:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52520,urinal in mens change room is plugged,CHATHAM,CHATHAM,,,,12-5-23 10:22 AM,2023-12-05T10:22:00.000Z,12-5-23 8:21 PM,2023-12-05T20:21:00.000Z,12-5-23 11:32 AM,2023-12-05T11:32:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
23-52519,ERC meeting Dec 20 (Taylor,0000,0000,,,,12-5-23 9:21 AM,2023-12-05T09:21:00.000Z,12-24-23 9:21 AM,2023-12-24T09:21:00.000Z,12-20-23 11:21 AM,2023-12-20T11:21:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52518,INVESTIGATE UTILITY WATER LINE PRESSURE AT PUMP SEAL,P-1511A,P-1511A,1178,,,12-5-23 7:55 AM,2023-12-05T07:55:00.000Z,10-13-23 3:46 PM,2023-10-13T15:46:00.000Z,12-5-23 7:56 AM,2023-12-05T07:56:00.000Z,4,4,,CO,CLOSE,Y,,NO,CHATHAM
23-52517,Outlet on fume hood at Richmond Site Testing Area,FU-0002,FU-0002,7709,,,12-5-23 7:46 AM,2023-12-05T07:46:00.000Z,12-29-23 1:58 PM,2023-12-29T13:58:00.000Z,12-8-23 8:10 AM,2023-12-08T08:10:00.000Z,2,2,,SA,CLOSE,Y,,NO,CHATHAM
23-52516,Assit Chirag in removing and replaceing monitor in the waiting area,0000,0000,,,,12-5-23 6:50 AM,2023-12-05T06:50:00.000Z,12-7-23 12:00 AM,2023-12-07T00:00:00.000Z,12-6-23 1:00 AM,2023-12-06T01:00:00.000Z,2,2,,CO,CLOSE,Y,,NO,CHATHAM
