WorkOrder_Asset,WorkOrder_Description,Work_Order,Location,Location_Normalized,Notes,Lead,Reported_Date,Reported_Timestamp,Target_Finish,Target_Finish_Timestamp,Actual_Finish,Actual_Finish_Timestamp,Priority,Priority_Int,Priority_InvalidValue,Work_Type,Status,History,Is_dynamic,Dynamic_Job_Plan_applied,Site,Assets,Asset_Descriptions,Parent,IsProblematic,Area,Tag_Full,INstrumentation_Location,Instrumentation_Type_,Instrumentation_Data_Type,Instrumentation_Data_Type_Meaning,INstrumentation_Type_Description,Role,Instrumentation_Description,Related_Location_Cleaned
,REMOVE GEAR BOX,23-31803,CV-1833,CV-1833,,,1-11-23 11:25 AM,2023-01-11T11:25:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D,CH-DRYER_D:PDY84403.RO01,PDY-84403,PDY,RO01,Binary/relay output channel,Differential pressure relay output,Output,CV1833 MOTOR CURRENT,CV-1833
,REMOVE GEAR BOX,23-31803,CV-1833,CV-1833,,,1-11-23 11:25 AM,2023-01-11T11:25:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:IT84201.PNT,IT-84201,IT,PNT,Point value / indication,Current transmitter,Indication,CV1833 SPEED INDICATION,CV-1833
,REMOVE GEAR BOX,23-31803,CV-1833,CV-1833,,,1-11-23 11:25 AM,2023-01-11T11:25:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84311.PNT,TT-84311,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1833 SPEED SWITCH,CV-1833
,REMOVE GEAR BOX,23-31803,CV-1833,CV-1833,,,1-11-23 11:25 AM,2023-01-11T11:25:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84319.MEAS,TT-84319,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED CONTROL,CV-1833
,REMOVE GEAR BOX,23-31803,CV-1833,CV-1833,,,1-11-23 11:25 AM,2023-01-11T11:25:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_DECANT702,CH-DR_DECANT702:FIC17704.OUT,FIC-17704,FIC,OUT,Controller output / demand (CO),Flow indicating controller,Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_CYCLNS,CH-DRA_CYCLNS:IT18171.MEAS,IT-18171,IT,MEAS,Measured value (PV),Current transmitter (motor amps),Measurement,CV1833 MOTOR CURRENT,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_PROC_AIR,CH-DRA_PROC_AIR:TT18179D.MEAS,TT-18179D,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED INDICATION,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:XV18182.STAIND,XV-18182,XV,STAIND,"Status indication (open/closed, run/stop)",Valve/damper/door status (discrete),Status,CV1833 SPEED SWITCH,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:ZT18215.MEAS,ZT-18215,ZT,MEAS,Measured value (PV),Valve/actuator position feedback,Measurement,CV1833 SPEED CONTROL,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_A,CH-DRYER_A:CV1833.STAIND,CV-1833,CV,STAIND,"Status indication (open/closed, run/stop)",Conveyor (asset),Equipment status,RECYCLE SCREW CVYR,
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_PROC_AIR,CH-DR_PROC_AIR:PT33307.MEAS,PT-33307,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1833 MOTOR CURRENT,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:SY18642.OUT,SY-18642,SY,OUT,Controller output / demand (CO),Speed output (VFD demand),Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D,CH-DRYER_D:PDY84403.RO01,PDY-84403,PDY,RO01,Binary/relay output channel,Differential pressure relay output,Output,CV1833 MOTOR CURRENT,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:IT84201.PNT,IT-84201,IT,PNT,Point value / indication,Current transmitter,Indication,CV1833 SPEED INDICATION,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84311.PNT,TT-84311,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1833 SPEED SWITCH,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84319.MEAS,TT-84319,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED CONTROL,CV-1833
,CRANE TO REMOVE GB,23-31804,CV-1833,CV-1833,,,1-11-23 11:27 AM,2023-01-11T11:27:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_DECANT702,CH-DR_DECANT702:FIC17704.OUT,FIC-17704,FIC,OUT,Controller output / demand (CO),Flow indicating controller,Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_CYCLNS,CH-DRA_CYCLNS:IT18171.MEAS,IT-18171,IT,MEAS,Measured value (PV),Current transmitter (motor amps),Measurement,CV1833 MOTOR CURRENT,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_PROC_AIR,CH-DRA_PROC_AIR:TT18179D.MEAS,TT-18179D,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED INDICATION,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:XV18182.STAIND,XV-18182,XV,STAIND,"Status indication (open/closed, run/stop)",Valve/damper/door status (discrete),Status,CV1833 SPEED SWITCH,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:ZT18215.MEAS,ZT-18215,ZT,MEAS,Measured value (PV),Valve/actuator position feedback,Measurement,CV1833 SPEED CONTROL,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_A,CH-DRYER_A:CV1833.STAIND,CV-1833,CV,STAIND,"Status indication (open/closed, run/stop)",Conveyor (asset),Equipment status,RECYCLE SCREW CVYR,
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_PROC_AIR,CH-DR_PROC_AIR:PT33307.MEAS,PT-33307,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1833 MOTOR CURRENT,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:SY18642.OUT,SY-18642,SY,OUT,Controller output / demand (CO),Speed output (VFD demand),Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D,CH-DRYER_D:PDY84403.RO01,PDY-84403,PDY,RO01,Binary/relay output channel,Differential pressure relay output,Output,CV1833 MOTOR CURRENT,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:IT84201.PNT,IT-84201,IT,PNT,Point value / indication,Current transmitter,Indication,CV1833 SPEED INDICATION,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84311.PNT,TT-84311,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1833 SPEED SWITCH,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84319.MEAS,TT-84319,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED CONTROL,CV-1833
,INSPECT WEAR PARTS,23-31805,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_DECANT702,CH-DR_DECANT702:FIC17704.OUT,FIC-17704,FIC,OUT,Controller output / demand (CO),Flow indicating controller,Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_CYCLNS,CH-DRA_CYCLNS:IT18171.MEAS,IT-18171,IT,MEAS,Measured value (PV),Current transmitter (motor amps),Measurement,CV1833 MOTOR CURRENT,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_PROC_AIR,CH-DRA_PROC_AIR:TT18179D.MEAS,TT-18179D,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED INDICATION,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:XV18182.STAIND,XV-18182,XV,STAIND,"Status indication (open/closed, run/stop)",Valve/damper/door status (discrete),Status,CV1833 SPEED SWITCH,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRA_COMB_AIR,CH-DRA_COMB_AIR:ZT18215.MEAS,ZT-18215,ZT,MEAS,Measured value (PV),Valve/actuator position feedback,Measurement,CV1833 SPEED CONTROL,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_A,CH-DRYER_A:CV1833.STAIND,CV-1833,CV,STAIND,"Status indication (open/closed, run/stop)",Conveyor (asset),Equipment status,RECYCLE SCREW CVYR,
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_PROC_AIR,CH-DR_PROC_AIR:PT33307.MEAS,PT-33307,PT,MEAS,Measured value (PV),Pressure transmitter,Measurement,CV1833 MOTOR CURRENT,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_UTIL_WTR,CH-DR_UTIL_WTR:SY18642.OUT,SY-18642,SY,OUT,Controller output / demand (CO),Speed output (VFD demand),Output/Demand,CV1833 MOTOR CURRENT,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D,CH-DRYER_D:PDY84403.RO01,PDY-84403,PDY,RO01,Binary/relay output channel,Differential pressure relay output,Output,CV1833 MOTOR CURRENT,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_BMS,CH-DRYER_D_BMS:IT84201.PNT,IT-84201,IT,PNT,Point value / indication,Current transmitter,Indication,CV1833 SPEED INDICATION,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84311.PNT,TT-84311,TT,PNT,Point value / indication,Temperature transmitter,Measurement,CV1833 SPEED SWITCH,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DRYER_D_CY2,CH-DRYER_D_CY2:TT84319.MEAS,TT-84319,TT,MEAS,Measured value (PV),Temperature transmitter,Measurement,CV1833 SPEED CONTROL,CV-1833
,CRANE LIFT NEW GB IN PLACE,23-31806,CV-1833,CV-1833,,,1-11-23 11:28 AM,2023-01-11T11:28:00.000Z,10-23-22 3:42 PM,2022-10-23T15:42:00.000Z,5-24-23 11:41 AM,2023-05-24T11:41:00.000Z,4,4,,SD,CLOSE,Y,,NO,CHATHAM,"2493, 2518","7.5 HP / 1800 RPM / TEFC / 575V/3PH/60HZ / FRAME#213T, DORRIS 207TR25 SHAFT MOUNTED SPEED REDUCER",,No,CH-DR_DECANT702,CH-DR_DECANT702:FIC17704.OUT,FIC-17704,FIC,OUT,Controller output / demand (CO),Flow indicating controller,Output/Demand,CV1833 MOTOR CURRENT,CV-1833
